task_idx,dataset_id,objective,edit_budget,seed,method,score_col,n_selected,functional_hit_rate,mean_fitness,best_fitness,mean_edit_distance,constraint_satisfaction_rate,joint_success_rate
21,GCN4_YEAST_Staller_2018,novelty,5,4,esm_if_rerank,esm_if_score,50,0.38,0.691986353297953,0.9965883244882486,2.8,1.0,0.38
22,GCN4_YEAST_Staller_2018,fragility_aware,5,0,esm_if_rerank,esm_if_score,50,0.4,0.6844882486732372,0.9965883244882486,2.96,1.0,0.4
22,GCN4_YEAST_Staller_2018,fragility_aware,5,1,esm_if_rerank,esm_if_score,50,0.4,0.6844882486732372,0.9965883244882486,2.96,1.0,0.4
22,GCN4_YEAST_Staller_2018,fragility_aware,5,2,esm_if_rerank,esm_if_score,50,0.4,0.6844882486732372,0.9965883244882486,2.96,1.0,0.4
22,GCN4_YEAST_Staller_2018,fragility_aware,5,3,esm_if_rerank,esm_if_score,50,0.4,0.6844882486732372,0.9965883244882486,2.96,1.0,0.4
22,GCN4_YEAST_Staller_2018,fragility_aware,5,4,esm_if_rerank,esm_if_score,50,0.4,0.6844882486732372,0.9965883244882486,2.96,1.0,0.4
23,GCN4_YEAST_Staller_2018,motif_avoidance,5,0,esm_if_rerank,esm_if_score,50,0.38,0.691986353297953,0.9965883244882486,2.8,1.0,0.38
23,GCN4_YEAST_Staller_2018,motif_avoidance,5,1,esm_if_rerank,esm_if_score,50,0.38,0.691986353297953,0.9965883244882486,2.8,1.0,0.38
23,GCN4_YEAST_Staller_2018,motif_avoidance,5,2,esm_if_rerank,esm_if_score,50,0.38,0.691986353297953,0.9965883244882486,2.8,1.0,0.38
23,GCN4_YEAST_Staller_2018,motif_avoidance,5,3,esm_if_rerank,esm_if_score,50,0.38,0.691986353297953,0.9965883244882486,2.8,1.0,0.38
23,GCN4_YEAST_Staller_2018,motif_avoidance,5,4,esm_if_rerank,esm_if_score,50,0.38,0.691986353297953,0.9965883244882486,2.8,1.0,0.38
