method,n_selected,functional_hit_rate,mean_fitness,best_fitness,mean_edit_distance,constraint_satisfaction_rate,joint_success_rate,task_idx,dataset_id,objective,edit_budget,seed
novelty,50,0.42,0.6670964845964847,0.9900538650538651,3.0,1.0,0.42,7,CAPSD_AAV2S_Sinai_2021,fragility_aware,3,2
objective_only,50,0.4,0.6297353997353998,0.9991731241731242,2.34,1.0,0.4,7,CAPSD_AAV2S_Sinai_2021,fragility_aware,3,2
dms_prior_rerank,50,0.76,0.8282767907767908,0.99496786996787,2.58,1.0,0.76,7,CAPSD_AAV2S_Sinai_2021,fragility_aware,3,2
editguard_guided,50,0.76,0.8282767907767908,0.99496786996787,2.58,1.0,0.76,7,CAPSD_AAV2S_Sinai_2021,fragility_aware,3,2
random,50,0.34,0.528309157059157,0.9967869967869968,2.26,1.0,0.34,8,CAPSD_AAV2S_Sinai_2021,motif_avoidance,3,0
novelty,50,0.4,0.6406638631638631,0.9877858627858628,3.0,1.0,0.4,8,CAPSD_AAV2S_Sinai_2021,motif_avoidance,3,0
objective_only,50,0.3,0.4872878472878472,0.9942591192591193,2.28,1.0,0.3,8,CAPSD_AAV2S_Sinai_2021,motif_avoidance,3,0
dms_prior_rerank,50,0.84,0.8485858060858061,0.976918351918352,2.48,1.0,0.84,8,CAPSD_AAV2S_Sinai_2021,motif_avoidance,3,0
editguard_guided,50,0.84,0.8485858060858061,0.976918351918352,2.48,1.0,0.84,8,CAPSD_AAV2S_Sinai_2021,motif_avoidance,3,0
random,50,0.38,0.522754914004914,0.9704923454923455,2.3,1.0,0.38,8,CAPSD_AAV2S_Sinai_2021,motif_avoidance,3,1
novelty,50,0.48,0.6774858249858249,0.9877149877149877,3.0,1.0,0.48,8,CAPSD_AAV2S_Sinai_2021,motif_avoidance,3,1
objective_only,50,0.26,0.5160543848043848,0.999007749007749,2.5,1.0,0.26,8,CAPSD_AAV2S_Sinai_2021,motif_avoidance,3,1
dms_prior_rerank,50,0.82,0.8245527783027784,0.9999054999054999,2.52,1.0,0.82,8,CAPSD_AAV2S_Sinai_2021,motif_avoidance,3,1
editguard_guided,50,0.82,0.8245527783027784,0.9999054999054999,2.52,1.0,0.82,8,CAPSD_AAV2S_Sinai_2021,motif_avoidance,3,1
random,50,0.3,0.5107087507087507,0.9982044982044982,2.36,1.0,0.3,8,CAPSD_AAV2S_Sinai_2021,motif_avoidance,3,2
novelty,50,0.46,0.6524036099036098,0.9964089964089964,3.0,1.0,0.46,8,CAPSD_AAV2S_Sinai_2021,motif_avoidance,3,2
objective_only,50,0.38,0.5438402475902475,0.9578529578529579,2.28,1.0,0.38,8,CAPSD_AAV2S_Sinai_2021,motif_avoidance,3,2
dms_prior_rerank,50,0.86,0.8593113305613307,0.9973303723303724,2.38,1.0,0.86,8,CAPSD_AAV2S_Sinai_2021,motif_avoidance,3,2
editguard_guided,50,0.86,0.8593113305613307,0.9973303723303724,2.38,1.0,0.86,8,CAPSD_AAV2S_Sinai_2021,motif_avoidance,3,2
random,50,0.28,0.5351306463806464,0.9667123417123417,3.3,1.0,0.28,9,CAPSD_AAV2S_Sinai_2021,novelty,5,0
novelty,50,0.3,0.5587270837270837,0.9330230580230581,5.0,1.0,0.3,9,CAPSD_AAV2S_Sinai_2021,novelty,5,0
objective_only,50,0.24,0.5562433849933851,0.9796116046116046,5.0,1.0,0.24,9,CAPSD_AAV2S_Sinai_2021,novelty,5,0
dms_prior_rerank,50,0.78,0.82009828009828,0.9952513702513702,2.58,1.0,0.78,9,CAPSD_AAV2S_Sinai_2021,novelty,5,0
editguard_guided,50,0.76,0.7864453789453789,0.9922273672273673,2.98,1.0,0.76,9,CAPSD_AAV2S_Sinai_2021,novelty,5,0
