dataset_id,n,r2_additive,r2_global,spec_std,spec_var_share
1V1C.pdb,1913,-3.306001838650256,0.8318656844704218,0.3520950953613534,0.16813431552957833
1VII.pdb,88,-1.6688484718161471,0.542259498180339,0.4714550893183029,0.457740501819661
1W4F.pdb,41,-2.627191579044388,0.47721201639906563,0.589868069474238,0.5227879836009344
1W4G.pdb,442,0.6364597686125775,0.8146613342636216,0.18070315852362245,0.1853386657363784
1W4H.pdb,1114,-2.7281713014234192,0.21953360245827958,0.3738802532778334,0.7804663975417204
1WCL.pdb,722,-1.2161971076704026,0.8667998935433945,0.25103304791635644,0.13320010645660554
1Y0M.pdb,3320,-6.321345317198722,0.505834054034763,0.3909690950974927,0.49416594596523683
1YP5.pdb,745,-0.4346244801233512,0.5012113657148872,0.6099557200656687,0.4987886342851128
1YU5.pdb,1286,-0.8998897413072429,0.586113438870157,0.5078998032396723,0.413886561129843
1ZHC.pdb,366,-0.9918371185321304,0.6999995877941796,0.3063203253531541,0.3000004122058204
1ZLM.pdb,1741,0.289345837356505,0.7429067824122899,0.4925639188042939,0.2570932175877101
2AMI.pdb,499,0.1191084030887486,0.8230382363772809,0.3939134029962329,0.17696176362271906
2BTH.pdb,87,0.10117973341996322,0.33982497159453284,0.4756624707043097,0.6601750284054672
2BTT.pdb,2205,-0.3719710946949386,0.7516040650090883,0.5068834925512633,0.24839593499091167
2CDT.pdb,436,0.36444902888320996,0.8187862587034804,0.4986337413097148,0.1812137412965196
2CJJ.pdb,35,-1.6774274813370589,0.5877440119180908,0.33045483456465624,0.41225598808190916
2D1U.pdb,547,-0.9809983261956912,0.6855343799079211,0.38065102872886314,0.3144656200920789
2EXD.pdb,362,0.6266130124970294,0.8482084487210331,0.2757399291509451,0.15179155127896696
2HBB.pdb,613,-0.41878097393102376,0.6139651716162693,0.4026673809287967,0.38603482838373065
2JN4.pdb,1266,0.2448582506142224,0.7120909802666917,0.568797201435886,0.28790901973330824
2JT1.pdb,361,0.10688630000733224,0.8144123481603239,0.2689804628824287,0.18558765183967602
2JTV.pdb,1315,0.7438551479454665,0.8662013727541231,0.4407013780885974,0.13379862724587693
2JVD.pdb,1352,-7.475836948365716,0.2784563988693285,0.3734584620866519,0.7215436011306715
2JWT.pdb,2082,-0.9270630169204419,0.6604623394940599,0.3760098754188659,0.3395376605059402
2JZ2.pdb,692,-0.16557341256411728,0.6943385568861782,0.46441358369395375,0.30566144311382176
2K1B.pdb,1005,-1.9966446042679649,0.6571705061361242,0.4562730610558197,0.34282949386387584
2K28.pdb,1329,-1.1192711520227445,0.372947615922851,0.6619076329773271,0.627052384077149
2K2A.pdb,1249,0.028998309607920603,0.7214620313164615,0.2890783480115225,0.2785379686835385
2K5N.pdb,2021,-1.6885656115803167,0.6668599865053122,0.7216925913190745,0.3331400134946876
2K5P.pdb,703,-1.5870046624839436,0.8879388660911802,0.3285459314522216,0.11206113390881974
2K9D.pdb,337,0.6574825754783625,0.8454604586950741,0.2642547890679279,0.1545395413049259
2KCF.pdb,57,-0.7167664879765772,0.7266525461527512,0.4480435682082985,0.27334745384724873
2KCM.pdb,1060,-0.2877686745760124,0.8516612543859742,0.4692073100039468,0.14833874561402585
2KGT.pdb,3196,-2.510212711709405,0.36636130112745635,0.6004010114231614,0.6336386988725436
2KRU.pdb,677,0.7252473378697725,0.8799329977107075,0.30201526280731306,0.1200670022892924
2KVS.pdb,1366,-2.7325970203960797,0.7088779535414436,0.45350808823209676,0.2911220464585564
2KVT.pdb,874,-2.8132898266901893,0.5730692449790358,0.7006643130870136,0.4269307550209643
